id,offload vehicle id,service vehicle id,allocation basestation id,delay,done status,vehicle density
20220408160944bs0,0.0,3.0,0.0,0.0,"{1: 4, 2: 0}",0.19910264015197754
20220408160950bs0,1.0,0.0,0.0,0.0,"{1: 4, 2: 0}",1.1821167469024658
20220408160952bs0,0.0,3.0,0.0,1.0,"{1: 4, 2: 0}",0.16911792755126953
20220408161000bs0,3.0,2.0,0.0,0.0,"{1: 4, 2: 0}",0.17371320724487305
20220408161002bs0,1.0,2.0,0.0,1.0,"{1: 4, 2: 0}",0.17138314247131348
20220408161007bs0,0.0,1.0,0.0,0.0,"{1: 4, 2: 0}",0.14775633811950684
20220408161010bs0,0.0,0.0,0.0,1.0,"{1: 4, 2: 0}",0.15189170837402344
20220408161013bs0,1.0,0.0,0.0,1.0,"{1: 4, 2: 0}",0.1886918544769287
20220408161016bs0,3.0,3.0,0.0,1.0,"{1: 4, 2: 0}",0.15106678009033203
20220408161017bs0,1.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.16770076751708984
20220408161019bs0,0.0,0.0,0.0,1.0,"{1: 4, 2: 0}",0.22296500205993652
20220408161022bs0,1.0,2.0,0.0,1.0,"{1: 4, 2: 0}",0.15186572074890137
20220408161024bs0,1.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.15703701972961426
20220408161027bs0,0.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.1688222885131836
20220408161032bs0,3.0,0.0,0.0,0.0,"{1: 4, 2: 0}",0.2619781494140625
20220408161036bs0,3.0,1.0,0.0,0.0,"{1: 4, 2: 0}",1.7223570346832275
20220408161038bs0,0.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.14297246932983398
20220408161040bs0,3.0,0.0,0.0,0.0,"{1: 4, 2: 0}",0.14722609519958496
20220408161044bs0,0.0,0.0,0.0,1.0,"{1: 4, 2: 0}",0.15851569175720215
20220408161046bs0,0.0,0.0,0.0,1.0,"{1: 4, 2: 0}",0.1506052017211914
20220408161055bs0,0.0,2.0,0.0,1.0,"{1: 4, 2: 0}",1.287301778793335
20220408161059bs0,1.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.16672039031982422
20220408161102bs0,3.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.16608285903930664
20220408161107bs0,3.0,3.0,0.0,1.0,"{1: 4, 2: 0}",0.7164938449859619
20220408161116bs0,1.0,1.0,0.0,0.0,"{1: 4, 2: 0}",1.5578982830047607
20220408161124bs0,3.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.15952277183532715
20220408161127bs0,1.0,2.0,0.0,1.0,"{1: 4, 2: 0}",0.14375519752502441
20220408161128bs0,3.0,3.0,0.0,1.0,"{1: 4, 2: 0}",0.16468143463134766
20220408161135bs0,1.0,3.0,0.0,0.0,"{1: 4, 2: 0}",0.17205309867858887
20220408161917bs0,3.0,3.0,0.0,0.0,"{1: 4, 2: 0}",0.18179774284362793
20220408161923bs0,0.0,1.0,0.0,0.0,"{1: 4, 2: 0}",0.13467192649841309
20220408161929bs0,1.0,3.0,0.0,0.0,"{1: 4, 2: 0}",0.16259074211120605
20220408162910bs1,0.0,3.0,1.0,0.0,"{1: 1, 2: 3}",0.46720218658447266
20220408162915bs1,1.0,2.0,1.0,0.0,"{1: 1, 2: 3}",0.2860276699066162
20220408162918bs1,0.0,3.0,1.0,1.0,"{1: 1, 2: 3}",0.3051943778991699
20220408162925bs1,3.0,0.0,1.0,0.0,"{1: 1, 2: 3}",0.2772247791290283
20220408162927bs1,0.0,3.0,1.0,0.0,"{1: 1, 2: 3}",0.26434826850891113
20220408162935bs1,0.0,0.0,1.0,1.0,"{1: 1, 2: 3}",0.3620445728302002
20220408162937bs0,0.0,3.0,0.0,0.0,"{1: 4, 2: 0}",0.3190333843231201
20220408162944bs0,1.0,0.0,0.0,0.0,"{1: 4, 2: 0}",0.1701345443725586
20220408162952bs0,0.0,2.0,0.0,0.0,"{1: 4, 2: 0}",0.16193366050720215
20220408162958bs0,3.0,1.0,0.0,0.0,"{1: 4, 2: 0}",0.1568927764892578
20220408162959bs0,0.0,3.0,0.0,1.0,"{1: 4, 2: 0}",0.1700901985168457
20220408163002bs0,1.0,2.0,0.0,0.0,"{1: 4, 2: 0}",0.8431329727172852
20220408163012bs0,1.0,3.0,0.0,0.0,"{1: 4, 2: 0}",0.15442562103271484
20220408163013bs0,0.0,3.0,0.0,1.0,"{1: 4, 2: 0}",0.15314221382141113
20220408163024bs0,1.0,0.0,0.0,0.0,"{1: 4, 2: 0}",4.540262937545776
20220408163026bs0,3.0,3.0,0.0,1.0,"{1: 4, 2: 0}",0.15950727462768555
20220408163032bs0,1.0,2.0,0.0,1.0,"{1: 4, 2: 0}",0.15360784530639648
20220408163041bs0,1.0,3.0,0.0,1.0,"{1: 4, 2: 0}",1.0532667636871338
20220408163047bs0,1.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.29750537872314453
20220408163101bs0,3.0,0.0,0.0,0.0,"{1: 4, 2: 0}",6.685690641403198
20220408163103bs0,1.0,0.0,0.0,0.0,"{1: 4, 2: 0}",0.16125035285949707
20220408163108bs0,0.0,3.0,0.0,0.0,"{1: 4, 2: 0}",0.6095058917999268
20220408163117bs0,1.0,1.0,0.0,1.0,"{1: 4, 2: 0}",1.057776689529419
20220408163119bs0,3.0,3.0,0.0,1.0,"{1: 4, 2: 0}",0.15568161010742188
